Index,Institutions,Countries/Regions,Web of Science Documents,Cites,Cites/Paper,Top Papers,Latitude,Longitude
801,INDIAN INSTITUTE OF TECHNOLOGY (IIT) - BOMBAY,INDIA,560,5385,9.62,4,19.1326186,72.9149702
801,AJOU UNIVERSITY,SOUTH KOREA,611,5385,8.81,1,37.2830024,127.0453782
803,ULSTER UNIVERSITY,NORTHERN IRELAND,376,5370,14.28,3,54.604374,-5.929176
804,OREGON STATE UNIVERSITY,USA,451,5368,11.9,2,44.5630559,-123.2839234
805,ENSTA PARIS,FRANCE,215,5344,24.86,2,,
806,WESTERN MICHIGAN UNIVERSITY,USA,117,5343,45.67,4,,
807,HACETTEPE UNIVERSITY,TURKIYE,358,5326,14.88,4,39.8674482,32.7353845
808,YUAN ZE UNIVERSITY,TAIWAN,528,5324,10.08,3,24.9686131,121.2675487
809,ISTITUTO DI SCIENZA E TECNOLOGIE DELL'INFORMAZIONE ALESSANDRO FAEDO (ISTI-CNR),ITALY,402,5323,13.24,4,46.19241,11.16128
810,INDIAN INSTITUTE OF TECHNOLOGY (IIT) - GUWAHATI,INDIA,644,5306,8.24,2,26.1924787,91.6946357
811,HEILONGJIANG UNIVERSITY,CHINA,296,5305,17.92,6,45.7066703,126.612399
812,TIANGONG UNIVERSITY,CHINA,454,5302,11.68,8,39.0645179,117.1052943
813,FORDHAM UNIVERSITY,USA,221,5289,23.93,4,40.8617344,-73.8860317
814,UNIVERSITY OF OVIEDO,SPAIN,531,5273,9.93,2,43.36029,-5.84476
815,UNIVERSITY OF WEST ENGLAND,ENGLAND,309,5251,16.99,5,51.5007679,-2.5503106
816,UNIVERSITY OF DUISBURG ESSEN,GERMANY (FED REP GER),408,5250,12.87,6,51.45657,7.01228
817,JAWAHARLAL NEHRU UNIVERSITY NEW DELHI,INDIA,430,5248,12.2,1,28.5401667,77.1645601
818,NANJING FORESTRY UNIVERSITY,CHINA,394,5247,13.32,8,32.0810664,118.811774
818,CNRS - NATIONAL INSTITUTE FOR MATHEMATICAL SCIENCES (INSMI),FRANCE,433,5247,12.12,2,48.654873,-2.023317
820,HUZHOU UNIVERSITY,CHINA,302,5242,17.36,14,35.0,105.0
821,UNIVERSIDADE DE VIGO,SPAIN,386,5241,13.58,4,42.1689885,-8.6837033
